time_step,unit_id,node_id
0,0,0
1,0,126
2,0,125
3,0,21
4,0,125
5,0,21
6,0,125
7,0,21
8,0,125
9,0,127
10,0,125
11,0,127
12,0,134
13,0,135
14,0,136
15,0,137
16,0,22
17,0,19
18,0,22
19,0,137
20,0,142
21,0,140
22,0,143
23,0,144
24,0,147
25,0,151
26,0,147
27,0,151
28,0,148
29,0,151
30,0,185
31,0,151
32,0,147
33,0,150
34,0,147
35,0,151
36,0,147
37,0,144
38,0,147
39,0,149
40,0,147
41,0,150
42,0,77
43,0,150
44,0,215
45,0,150
46,0,147
47,0,151
48,0,8
49,0,6
50,0,8
51,0,214
52,0,8
53,0,151
54,0,8
55,0,6
56,0,7
57,0,11
58,0,8
59,0,214
60,0,8
61,0,6
62,0,7
63,0,11
64,0,7
65,0,6
66,0,8
67,0,151
68,0,8
69,0,151
70,0,8
71,0,151
72,0,185
73,0,149
74,0,147
75,0,144
76,0,215
77,0,150
78,0,215
79,0,150
80,0,215
81,0,150
82,0,77
83,0,74
84,0,77
85,0,75
86,0,77
87,0,75
88,0,72
89,0,75
90,0,78
91,0,75
92,0,76
93,0,183
94,0,76
95,0,75
96,0,77
97,0,186
98,0,77
99,0,150
100,0,215
101,0,150
102,0,77
103,0,150
104,0,153
105,0,150
106,0,147
107,0,144
108,0,147
109,0,151
110,0,148
111,0,151
112,0,148
113,0,151
114,0,8
115,0,151
116,0,185
117,0,149
118,0,147
119,0,149
120,0,147
